Sr.,Particulars,Qty,Rate,Total,Date,Company,,
2189,Back Cover 70,612,30,18360,,,,
2190,Hosing  70 black,756,10,7560,,,,
2191,,,,57096,,,,
2192,Back  Cover  70,610,30,18300,6/7/2015,,,
2193,Hosing  70 black,461,10,4610,,,,
2194,,,,22910,,,,
2195,uper cover window,940,36,33840,7/7/2015,,,
2196,Back Cover 70,804,30,24120,,,,
2197,Hosing  70 black,858,10,8580,,,,
2198,uper cover sohrab Js,240,45,10800,,,,
2199,back Cover sohrab Js,250,20,5000,,,,
2200,nest sohrab Js,270,20,5400,,,,
2201,hosing  suhrab js,50,33,1650,,,,
2202,,,,89390,,,,
2203,Back  Cover  70,339,30,10170,8/7/2015,,,
2204,uper cover  new model 125,150,70,10500,,,,
2205,,,,20670,,,,
2206,uper cover window,705,36,25380,9/7/2015,,,
2207,uper cover unique,599,36,21564,,,,
2208,Back Cover 70,500,30,15000,,,,
2209,Hosing  70 black,768,10,7680,,,,
2210,hosing  suhrab js,600,33,19800,,,,
2211,Back Cover sohrab Js,200,20,4000,,,,
2212,nest sohrab Js,240,20,4800,,,,
2213,,,,98224,,,,
2214,uper cover window,253,36,9108,10/7/2015,,,
2215,Back Cover 70,612,30,18360,,,,
2216,,,,27468,,,,
2217,uper cover window,902,36,32472,11/7/2015,,,
2218,Back Cover 70,963,30,28890,,,,
2219,Hosing  70 black,1126,10,11260,,,,
2220,,,,72622,,,,
2221,uper cover window,774,36,27864,13-7-2015,,,
2222,Back Cover 70,884,30,26520,,,,
2223,Hosing  70 black,1020,10,10200,,,,
2224,Cover set 125,100,125,12500,,,,
2225,,,,77084,,,,
2226,uper cover window,436,36,15696,14-7-2015,,,
2227,uper cover unique,226,36,8136,,,,
2228,Back Cover 70,525,30,15750,,,,
2229,Hosing  70 black,652,10,6520,,,,
2230,Cover set 125,100,125,12500,,,,
2231,,,,58602,,,,
2232,uper cover window,1029,36,37044,15-7-2015,,,
2233,Back Cover 70,999,30,29970,,,,
2234,Hosing  70 black,1174,10,11740,,,,
2235,,,,78754,,,,
2236,Back Cover 70,916,30,27480,23-7-2015,,,
2237,Hosing  70 black,936,10,9360,,,,
2238,cover Set new model 125,100,125,12500,,,,
2239,,,,49340,,,,
2240,uper cover window,683,36,24588,24-7-2015,,,
2241,Back Cover 70,519,30,15570,25-7-2015,,,
2242,Hosing  70 black,598,10,5980,,,,
2243,,,,21550,,,,
2244,uper cover window,533,36,19188,27-7-2015,,,
2245,Back Cover 70,559,30,16770,,,,
2246,Hosing  70 black,672,10,6720,,,,
2247,,,,42678,,,,
2248,uper cover window,677,36,24372,28-7-2015,,,
2249,Back Cover 70,657,30,19710,,,,
2250,Hosing  70 black,648,10,6480,,,,
2251,,,,50562,,,,
