Sr.,Particulars,Qty,Rate,Total,Date,Company ,,,,,,,,,
1652,hosing qinque,266,35,9310,,,,,,,,,,,
1653,upper Cover  Qinque,480,45,21600,,,,,,,,,,,
1654,,,,64110,,,,,,,,,,,
1655,Upper Cover Window,737,35,25795,30-1-2015,,,,,,,,,,
1656,Back Cover 70,687,30,20610,,,,,,,,,,,
1657,back Cover qinque,980,20,19600,,,,,,,,,,,
1658,nest Qinque,460,20,9200,,,,,,,,,,,
1659,hosing qinque,130,35,4550,,,,,,,,,,,
1660,Hosing 70Black,660,8,5280,,,,,,,,,,,
1661,,,,85035,,,,,,,,,,,
1662,upper Cover  Qinque,687,45,30915,31-1-2015,,,,,,,,,,
1663,Hosing qinque,400,35,14000,,,,,,,,,,,
1664,nest Qinque,600,20,12000,,,,,,,,,,,
1665,back Cover qinque,700,20,14000,,,,,,,,,,,
1666,upper Cover  Qinque 125,190,55,10450,,,,,,,,,,,
1667,,,,81365,,,,,,,,,,,
1668,Hoiusing 70,360,8,2880,30-1-2015,,,,,,,,,,
1669,hosing qinque,206,35,7210,2/2/2015,,,,,,,,,,
1670,Hosing 70Black,732,8,5856,,,,,,,,,,,
1671,,,,13066,,,,,,,,,,,
1672,upper Cover  Qinque 125,460,55,25300,4/2/2015,,,,,,,,,,
1673,Upper Cover  window,712,35,24920,,,,,,,,,,,
1674,Back Cover 70,852,30,25560,,,,,,,,,,,
1675,Hosing 70Black,704,8,5632,,,,,,,,,,,
1676,,,,81412,,,,,,,,,,,
1677,upper Cover  raser,1176,35,41160,6/2/2015,,,,,,,,,,
1678,Back Cover 70,730,35,25550,,,,,,,,,,,
1679,Hoiusing 70,792,8,6336,,,,,,,,,,,
1680,,,,73046,,,,,,,,,,,
1681,Upper Cover  window,177,35,6195,9/2/2015,,,,,,,,,,
1682,Back Cover 70,326,30,9780,,,,,,,,,,,
1683,Hosing 70Black,612,8,4896,,,,,,,,,,,
1684,hosing qinque,541,35,18935,,,,,,,,,,,
1685,,,,39806,,,,,,,,,,,
1686,Upper Cover  window,253,35,8855,10/2/2015,,,,,,,,,,
1687,upper Cover  road princes,513,35,17955,,,,,,,,,,,
1688,Back Cover 70,204,30,6120,,,,,,,,,,,
1689,Hosing 70Black,393,8,3144,,,,,,,,,,,
1690,,,,36074,,,,,,,,,,,
1691,Upper Cover  window,249,35,8715,7/2/2015,,,,,,,,,,
1692,Upper Cover  window,83,35,2905,13-2-2015,,,,,,,,,,
1693,Back Cover 70,510,30,15300,,,,,,,,,,,
1694,Hosing 70Black,657,8,5256,,,,,,,,,,,
1695,Upper Cover  window,178,35,6230,,,,,,,,,,,
1696,,,,29691,,,,,,,,,,,
1697,Upper Cover  window,576,35,20160,14-2-2015,,,,,,,,,,
1698,Back Cover 70,519,30,15570,,,,,,,,,,,
1699,Hosing 70Black,543,8,4344,,,,,,,,,,,
1700,,,,40074,,,,,,,,,,,
1701,Upper Cover  window,484,35,16940,16-2-2015,,,,,,,,,,
1702,Back Cover 70,588,30,17640,,,,,,,,,,,
1703,Hosing 70Black,660,8,5280,,,,,,,,,,,
1704,Upper Cover  window,90,35,3150,,,,,,,,,,,
1705,,,,43010,,,,,,,,,,,
1706,Upper Cover  window,542,35,18970,18-2-2015,,,,,,,,,,
1707,Back Cover 70,888,30,26640,,,,,,,,,,,
1708,Hosing 70Black,540,8,4320,,,,,,,,,,,
1709,,,,49930,,,,,,,,,,,
1710,Upper Cover  window,758,35,26530,24-2-2015,,,,,,,,,,
1711,Back Cover 70,945,30,28350,,,,,,,,,,,
1712,Hosing 70Black,729,8,5832,,,,,,,,,,,
1713,,,,60712,,,,,,,,,,,
1714,Upper Cover Window,170,35,5950,26-2-2015,,,,,,,,,,
1715,Upper Cover  window,450,35,15750,,,,,,,,,,,
1716,Back Cover 70,765,30,22950,,,,,,,,,,,
1717,,,,44650,,,,,,,,,,,
1718,Upper Cover  window,374,35,13090,2/3/2015,,,,,,,,,,
1719,Hoiusing 70 Black,740,8,5920,,,,,,,,,,,
1720,,,,19010,,,,,,,,,,,
1721,Upper Cover  window,539,35,18865,12/3/2015,,,,,,,,,,
1722,Back Cover 70,516,30,15480,,,,,,,,,,,
1723,Hoiusing 70,585,8,4680,,,,,,,,,,,
1724,,,,39025,,,,,,,,,,,
1725,upper Cover  Qinque,586,45,26370,13-3-2015,,,,,,,,,,
1726,back Cover qinque,550,20,11000,,,,,,,,,,,
1727,hosing qinque,566,35,19810,,,,,,,,,,,
1728,nest Qinque,580,20,11600,,,,,,,,,,,
1729,Upper Cover  window,352,35,12320,,,,,,,,,,,
1730,Back Cover 70,585,30,17550,,,,,,,,,,,
1731,Hosing 70Black,576,8,4608,,,,,,,,,,,
1732,,,,103258,,,,,,,,,,,
1733,upper Cover  Qinque,324,45,14580,20-3-2015,,,,,,,,,,
1734,upper Cover  Qinque,290,45,13050,19-3-2015,,,,,,,,,,
1735,Back Cover 70,1053,30,31590,21-3-2015,,,,,,,,,,
1736,Hoiusing 70,924,8,7392,,,,,,,,,,,
1737,,,,38982,,,,,,,,,,,
1738,Upper Cover  window,360,35,12600,24-3-2015,,,,,,,,,,
1739,Upper Cover  window,442,35,15470,26-3-2015,,,,,,,,,,
1740,Hoiusing 70,675,8,5400,,,,,,,,,,,
1741,,,,20870,,,,,,,,,,,
1742,dial Blank qinque,1400,12,16800,26-3-2015,,,,,,,,,,
1743,upper Cover  Qinque,990,45,44550,27-3-2015,,,,,,,,,,
1744,back Cover qinque,1530,20,30600,,,,,,,,,,,
1745,hosing qinque,957,35,33495,,,,,,,,,,,
1746,nest Qinque,1518,20,30360,,,,,,,,,,,
1747,Upper Cover  window,574,35,20090,,,,,,,,,,,
1748,Back Cover 70,496,30,14880,,,,,,,,,,,
1749,Hosing 70Black,855,8,6840,,,,,,,,,,,
1750,,,,180815,,,,,,,,,,,
1751,Dial Blank Suzuki,440,12,5280,27-3-2015,,,,,,,,,,
1752,upper Cover  Qinque,250,45,11250,31-3-2015,,,,,,,,,,
1753,back Cover qinque,200,20,4000,,,,,,,,,,,
1754,hosing qinque,200,35,7000,,,,,,,,,,,
1755,nest Qinque,200,20,4000,,,,,,,,,,,
1756,dial Blank suzuki,1540,12,18480,,,,,,,,,,,
1757,,,,44730,,,,,,,,,,,
1758,back Cover united 100 cc,500,20,10000,31-3-2015,,,,,,,,,,
1759,hosing united 100 cc,520,30,15600,,,,,,,,,,,
1760,,,,25600,,,,,,,,,,,
1761,Upper Cover  window,985,35,34475,2/4/2015,,,,,,,,,,
1762,Back Cover 70,1011,30,30330,,,,,,,,,,,
1763,Hosing 70Black,915,8,7320,,,,,,,,,,,
1764,,,,72125,,,,,,,,,,,
1765,upper Cover  Qinque,260,45,11700,4/4/2015,,,,,,,,,,
1766,Hosing qinque,343,35,12005,,,,,,,,,,,
1767,Back Cover 70,439,30,13170,,,,,,,,,,,
1768,Hosing 70Black,585,8,4680,,,,,,,,,,,
1769,hosing united 100 cc,1451,30,43530,,,,,,,,,,,
1770,,,,85085,,,,,,,,,,,
1771,Back Cover 70,604,30,18120,6/4/2015,,,,,,,,,,
1772,Hoiusing 70,375,8,3000,,,,,,,,,,,
1773,,,,21120,,,,,,,,,,,
1774,upper Cover  uNIted 100cc,326,45,14670,8/4/2015,,,,,,,,,,
1775,back Cover united 100 cc,1790,20,35800,,,,,,,,,,,
1776,hosing united 100 cc,300,30,9000,,,,,,,,,,,
1777,,,,59470,,,,,,,,,,,
1778,Upper Cover  window,170,35,5950,9/4/2015,,,,,,,,,,
1779,Upper Cover  window,514,35,17990,,,,,,,,,,,
1780,Back Cover 70,714,30,21420,,,,,,,,,,,
1781,Hosing 70Black,645,8,5160,,,,,,,,,,,
1782,,,,50520,,,,,,,,,,,
1783,Upper Cover Window,582,35,20370,14-4-2015,,,,,,,,,,
1784,Back Cover 70,425,30,12750,,,,,,,,,,,
1785,Hosing 70Black,540,8,4320,,,,,,,,,,,
1786,,,,37440,,,,,,,,,,,
1787,upper Cover  uNIQUI 100cc,582,45,26190,18-4-2015,,,,,,,,,,
1788,Upper Cover  window,770,35,26950,21-4-2015,,,,,,,,,,
1789,Upper Cover  window,1236,35,43260,25-4-2015,,,,,,,,,,
1790,Back Cover 70,741,30,22230,,,,,,,,,,,
1791,Hosing qinque,643,35,22505,,,,,,,,,,,
1792,,,,87995,,,,,,,,,,,
1793,upper Cover  Qinque,60,45,2700,28-4-2015,,,,,,,,,,
1794,back Cover qinque,1510,20,30200,,,,,,,,,,,
1795,hosing qinque,288,35,10080,,,,,,,,,,,
1796,nest Qinque,1510,20,30200,,,,,,,,,,,
1797,Upper Cover  window,994,35,34790,,,,,,,,,,,
1798,,,,107970,,,,,,,,,,,
1799,upper Cover  Qinque,582,45,26190,29-4-2015,,,,,,,,,,
1800,Upper Cover  window,764,35,26740,2/5/2015,,,,,,,,,,
