Sr.,Particulars,Qty,Rate,Total,Date,Company
149,Upper Cover Window,794,36,28584,6-Sep-12,
150,Back Cover 70,222,30,6660,,
151,Back Cover 70 Hole,727,30,21810,,
152,,,,57054,,
153,Back Cover 70,408,30,12240,7-Sep-12,
154,Back Cover 70 Hole,777,30,23310,,
155,Houing 70 Blue,2047,9,18423,,
156,,,,53973,,
157,Upper Cover Window,758,36,27288,7-Sep-12,
158,Cover Set Ravi,224,125,28000,,
159,,,,55288,,
160,Upper Cover Window,618,36,22248,10-Sep-12,
161,Back Cover 70,271,30,8130,,
162,Back Cover 70 Hole,847,30,25410,,
163,,,,55788,,
164,Upper Cover Window,426,36,15336,11-Sep-12,
165,Back Cover 70,435,30,13050,,
166,Back Cover gare counter,340,30,10200,,
167,Houing 70 gare counter,320,9,2880,,
168,,,,41466,,
169,Upper Cover Window,368,36,13248,12-Sep-12,
170,Upper Cover 70 New,321,36,11556,,
171,Back Cover 70,1299,30,38970,,
172,,,,63774,,
173,Upper Cover Window,610,36,21960,13-Sep-12,
174,Back Cover 70 Hole,932,30,27960,,
175,Housing Rikshaw small,100,17,1700,,
176,,,,51620,,
177,Upper Cover Window,369,36,13284,14-Sep-12,
178,Upper Cover 70 New,314,36,11304, ,
179,Back Cover 70 gare Counter,415,30,12450,,
180,Back Cover 70 Hole,392,30,11760,,
181,Back Cover 70,211,30,6330,,
182,,,,55128,,
183,Upper Cover Window,240,36,8640,15-Sep-12,
184,Back Cover 70 Hole,520,30,15600,,
185,Back Cover 70 Hole,508,30,15240,,
186,Houing Rikshaw Small,500,17,8500,,
187,,,,47980,,
188,Upper Cover Window,360,36,12960,17-Sep-12,
189,Back Cover 70 ,372,30,11160,,
190,Back Cover 70 Hole,506,30,15180,,
191,Dial Blank 70,1000,9,9000,,
192,Cover  set 125,100,125,12500,,
193,,,,60800,,
194,Upper Cover Unique,368,36,13248,19-Sep-12,
195,Upper Cover Window,402,36,14472,,
196,Back Cover 70,297,30,8910,,
197,Back Cover 70 Hole,339,30,10170,,
198,,,,46800,,
199,Upper Cover Window,643,36,23148,20-Sep-12,
200,Back Cover 70,306,30,9180,,
201,Back Cover 70 Hole,308,30,9240,,
202,Rubber Ring Small Inner,550,5,2750,,
203,Rubber ring Outer,500,5,2500,,
204,,,,46818,,
205,Upper Cover Window,762,36,27432,25-Sep-12,
206,Back Cover 70,402,30,12060,,
207,Housing 70,1033,9,9297,,
208,,,,48789,,
209,Dial Blank 125,1000,9,9000,27-Sep-12,
210,Upper Cover Window,672,36,24192,,
211,Back Cover 70,676,30,20280,,
212,Housing Rikshaw small,500,17,8500,,
213,Rubber ring Outer,500,5,2500,,
214,Rubber Ring Small Inner,550,5,2750,,
215,,,,67222,,
216,Upper Cover Unique,661,36,23796,27-Sep-12,
217,Back Cover 70,672,30,20160,,
218,,,,43956,,
219,Cover  set 125,200,125,25000,29-Sep-12,
220,Back Cover 70,399,30,11970,,
221,,,,36970,,
222,Upper Cover Unique,536,36,19296,2-Oct-12,
223,Upper Cover Window,296,36,10656,,
224,Upper Cover 70 new,314,36,11304,,
225,Back Cover 70 Hole,859,30,25770,,
226,,,,67026,,
227,Upper Cover Unique,894,36,32184,5-Oct-12,
228,Housing 70,867,9,7803,,
229,back Cover 125,200,20,4000,,
230,,,,43987,,
231,Upper Cover window,787,36,28332,8-Oct-12,
