Sr.,Particulars,Qty,Rate,Total,Date,Company
1174,Upper Cover Window,1004,36,36144,7-Dec-13,
1175,Back Cover 70,657,30,19710,,
1176,Houing 70 Black,1170,9,10530,,
1177,,,,66384,,
1178,Upper Cover Window,918,36,33048,9-Dec-13,
1179,Back Cover 70,603,30,18090,,
1180,,,,51138,,
1181,Upper Cover Unique,826,36,29736,10-Dec-13,
1182,Back Cover 70 Hole,1057,30,31710,,
1183,,,,61446,,
1184,Upper Cover Window,412,36,14832,12-Dec-13,
1185,Back Cover 70,1554,30,46620,,
1186,Back Cover 70 Hole,315,30,9450,,
1187,,,,70902,,
1188,Cover  set 125,500,125,62500,16-Dec-13,
1189,Dial Blank 125,1000,8,8000,19-Dec-13,
1190,Cove set 125,100,125,12500,,
1191,,,,20500,,
1192,Dial  Blank ravi,1000,12,12000,24-Dec-13,
1193,Upper Cover 70 New,542,36,19512,,
1194,Back Cover 70,1152,30,34560,,
1195,,,,66072,,
1196,Upper Cover Window,836,36,30096,28-Dec-13,
1197,Cover  set 125,200,125,25000,,
1198,,,,55096,,
1199,Dial Blank ravi,1000,12,12000,1-Jan-14,
1200,Upper Cover Unique,1015,36,36540,,
1201,Back Cover 70,1076,30,32280,,
1202,,,,80820,,
1203,Cove set 125,500,125,62500,4-Jan-14,
1204,Upper Cover Window,531,36,19116,4-Jan-14,
1205,Back Cover 70,1002,30,30060,,
1206,,,,49176,,
1207,Upper Cover Window,578,36,20808,6-Jan-14,
1208,Upper Cover Unique,492,36,17712,,
1209,Back Cover 70,1010,30,30300,,
1210,,,,68820,,
1211,Upper Cover Window,554,36,19944,7-Jan-14,
1212,Upper Cover Unique,287,36,10332,,
1213,Upper Cover 70 New,244,36,8784,,
1214,Back Cover 70 Hole,424,30,12720,,
1215,Back Cover 70,576,30,17280,,
1216,,,,69060,,
1217,Upper Cover Window,513,36,18468,10-Jan-14,
1218,Upper Cover 70 New,233,36,8388,,
1219,Back Cover 70,510,30,15300,,
1220,Back Cover 70 gare Counter,222,30,6660,,
1221,,,,48816,,
1222,Cove set 125 New,500,125,62500,21-Jan-14,
1223,Cove set 125 Old,500,125,62500,,
1224,,,,125000,,
1225,Upper Cover Window,582,36,20952,29-Jan-14,
1226,Upper Cover 70,519,36,18684,,
1227,Back Cover 70 gare Counter,512,30,15360,,
1228,,,,54996,,
1229,Dial Blank 70,500,9,4500,31-Jan-14,
1230,Rubber Ring Inne small,290,5,1450,,
1231,Upper Cover Window,520,36,18720,,
1232,Back Cover 70 Hole,512,30,15360,,
1233,Housing rIkshaw Small,700,17,11900,,
1234,Housing rikshaw medium,700,17,11900,,
1235,Rubber Ring  inner,775,5,3875,,
1236,Rubber Ring  Outer,775,5,3875,,
1237,Cove set 125,200,125,25000,,
1238,,,,96580,,
1239,Upper Cover Window,600,36,21600,3-Feb-14,
1240,Back Cover 70,543,30,16290,,
1241,Cove set 125,500,125,62500,,
1242,,,,100390,,
1243,Dial Blank Master,500,8,4000,6-Feb-14,
1244,Rubber Ring Large,300,10,3000,,
1245,Nest large Rikshaw,180,10,1800,,
1246,Upper Cover Window,686,36,24696,,
1247,Back Cover 70 Hole,656,30,19680,,
1248,Cover  set 125,250,125,31250,,
1249,,,,84426,,
1250,Upper Cover 70 New,500,36,18000,10-Feb-14,
1251,Upper Cover Window,633,36,22788,,
1252,Back Cover 70,674,30,20220,,
1253,Nest Large rikshaw,400,10,4000,,
1254,Nest Rikshaw Small,300,5,1500,,
1255,Rubber Ring Large,1000,10,10000,,
1256,Rubber Ring  inner,550,5,2750,,
1257,Rubber Ring  Outer,900,5,4500,,
1258,,,,83758,,
1259,Dial  Blank ravi,1000,12,12000,15-Feb-14,
1260,Dial  Blank rikshaw,500,8,4000,,
1261,Dial  Blank 70,102,30,3060,,
1262,Nest rikshaw small,620,5,3100,,
1263,Rubber Ring Inner Small,300,5,1500,,
1264,,,,23660,,
1265,Upper Cover Window,1072,36,38592,18-Feb-14,
1266,Back Cover 70,1101,30,33030,,
1267,Dial Blank 70,500,9,4500,,
1268,Nest large rikshaw,500,10,5000,,
1269,,,,81122,,
1270,Dial Blank ravi,300,12,3600,21-Feb-14,
1271,Housing rikshaw Small,500,17,8500,,
1272,housing rikshaw Medium,500,17,8500,,
1273,Rubber ring  Outer large,655,10,6550,,
1274,Upper Cover Window,1200,36,43200,,
1275,Back Cover 70,1302,30,39060,,
1276,,,,109410,,
1277,Upper Cover Window,634,36,22824,22-Feb-14,
1278,Back Cover 70,1056,30,31680,,
1279,Houing 70 Black,133,9,1197,,
1280,,,,55701,,
1281,Back Cover 70,1151,30,34530,24-Feb-14,
1282,Upper Cover Window,158,36,5688,,
1283,,,,40218,,
1284,Upper Cover Window,699,36,25164,24-Feb-14,
1285,Back Cover 70,564,30,16920,,
1286,,,,42084,,
1287,Upper Cover Window,1002,36,36072,25-Feb-14,
1288,Back Cover 70,729,30,21870,,
1289,,,,57942,,
1290,dial blank ravi,300,12,3600,26-Feb-14,
1291,Upper Cover Window,885,36,31860,,
1292,Back Cover 70,821,30,24630,,
1293,,,,60090,,
1294,Upper Cover Window,1054,36,37944,26-Feb-14,
1295,Back Cover 70,1020,30,30600,,
1296,,,,68544,,
1297,Nest rikshaw large,470,10,4700,8-Mar-14,
1298,Rubber Ring Inner,500,10,5000,,
1299,Dial blank ravi,120,12,1440,,
1300,Upper Cover 70 New,1026,36,36936,,
1301,Upper Cover Unique,338,36,12168,,
1302,Back Cover 70,630,30,18900,,
1303,,,,79144,,
1304,Upper Cover 70 New,626,36,22536,9-Mar-14,
1305,Back Cover 70,920,30,27600,,
1306,,,,50136,,
1307,Houing 70 ,1355,9,12195,11-Mar-14,
1308,Upper Cover 70 New,609,36,21924,15-Mar-14,
1309,Back Cover 70,869,30,26070,,
1310,housing rikshaw digital,615,35,21525,,
1311,Rubber Ring Inner Small,425,5,2125,,
1312,Rubber Ring outer small,700,5,3500,,
1313,,,,75144,,
1314,Housing Rikshaw medium,280,17,4760,18-Mar-14,
1315,housing rikshaw Small,450,17,7650,,
1316,Rubber ring inner Large,500,10,5000,,
1317,Rubber ring Outer large,500,10,5000,,
1318,Rubber Ring Inner Small,550,5,2750,,
1319,Rubber Ring outer small,300,5,1500,,
1320,,,,26660,,
1321,Cover Set 125 New,60,125,7500,20-Mar-14,
1322,Upper Cover Window,996,36,35856,,
1323,Back Cover 70,1006,30,30180,,
1324,,,,73536,,
1325,Upper Cover 70 New,1079,36,38844,26-Mar-14,
1326,Back Cover 70,1044,30,31320,,
1327,housing Rikshaw Digital,625,35,21875,,
1328,Nest Rikshaw Large,800,10,8000,,
1329,Nest rikshaw Small,300,5,1500,,
1330,,,,101539,,
1331,Cove set 125 New,612,125,76500,31-Mar-14,
1332,Cove set 125 Old,100,125,12500,,
1333,,,,89000,,
1334,Upper Cover Window,824,36,29664,28-Mar-14,
1335,Back Cover 70,851,30,25530,,
1336,Cover  set 125,350,125,43750,,
1337,Nest rikshaw small,224,5,1120,,
1338,Rubber Ring Inner,520,5,2600,,
1339,Rubber Ring  Outer,535,5,2675,,
1340,Dial Blank Master,200,8,1600,,
1341,Dial blank ravi,360,12,4320,,
1342,,,,111259,,
1343,Cover  set 125,600,125,75000,1-Apr-14,
1344,,,,75000,,
1345,Upper Cover 70,810,36,29160,3-april-20104,
1346,Back Cover 70,858,30,25740,,
1347,Housing Large riskshah,224,25,5600,,
1348,Housing large riskshah,966,25,24150,,
1349,Housing small Rikshaw,520,17,8840,,
1350,Housing medium Riskshah,530,17,9010,,
1351,,,,102500,,
1352,Upper Cover 70 New,773,36,27828,3-Apr-14,
1353,Back Cover 70,746,30,22380,,
1354,,,,50208,,
1355,Upper cover New Model 70,933,36,33588,4-Apr-14,
1356,Back Cover 70,646,30,19380,,
1357,Rubber Ring Riskshah small,480,5,2400,,
1358,Rubber Ring Rikshaw Small,300,5,1500,,
1359,,,,56868,,
1360,Dial Blank Master Riskshah 26-3-14,300,8,2400,8-Apr-14,
1361,Dial Blank Ravi,300,12,3600,,
1362,Upper Cover 70,1107,36,39852,,
1363,Back Cover 70,1171,30,35130,,
1364,Rubber Ring Inner Large Riskshah,500,10,5000,,
1365,Rubber Ring  Outer Large Riskshah,180,10,1800,,
1366,Nest Small Riskshah,665,5,3325,,
1367,,,,91107,,
1368,Upper Cover  70 New,752,36,27072,4/10/2014,
1369,Back  Cover 70,708,30,21240,,
1370,Nest Riskshah Small,470,10,4700,,
1371,Rubber ring  Inner small,960,10,9600,,
1372,Rubber Ring Outer small ,1000,10,10000,,
1373,,,,60462,,
1374,Upper Cover 70 New,848,36,30528,4/14/2014,
1375,Back  Cover 70,852,30,25560,,
1376,,,,56088,,
1377,Upper Cover  70,640,36,23040,4/15/2014,
1378,Upper Cover Window,616,36,22176,,
1379,Back  Cover 70,1223,30,36690,,
1380,,,,81906,,
1381,Upper Cover Window,1001,36,36036,4/16/2014,
1382,Back  Cover 70,1014,30,30420,,
1383,,,,66456,,
1384,Upper Cover  70,636,36,22896,17-4-2014,
1385,Back  Cover 70,682,30,20460,,
1386,,,,43356,,
1387,Upper cover new model 70,1082,36,38952,19-4-2014,
1388,Back  Cover 70,1125,30,33750,,
1389,,,,72702,,
1390,Upper cover new model,200,36,7200,22-4-2014,
1391,Back cover gear counter,200,30,6000,,
1392,Housing 70 gear counter ,200,9,1800,,
1393,Upper cover new model 70,1054,36,37944,,
1394,Back  Cover 70,1059,30,31770,,
1395,,,,84714,,
1396,Dial Blank Ravi 100 CC,500,12,6000,24-4-2014,
1397,Dial Blank Ravi 100 CC,350,12,4200,,
1398,,,,10200,,
1399,Upper  cover unique,500,36,18000,27-4-2014,
1400,Upper Cover Window,1064,36,38304,,
1401,Back Cover 70,723,30,21690,,
1402,,,,77994,,
1403,Upper Cover Window,1504,36,54144,28-4-2014,
1404,Back  Cover 70,158,30,4740,,
1405,Rubber Ring large Rickshaw,500,10,5000,,
1406,Rubber Ring  Inner lARGE Riskshah,505,10,5050,,
1407,Nest Large,373,10,3730,,
1408,RUBBER RING SMALL INNER OUTTER,2000,5,10000,,
1409,,,,82664,,
1410,Back  Cover 70,542,30,16260,29-4-2014,
1411,Upper Cover 70 ,50,36,1800,,
1412,Back cover gear counter,50,30,1500,,
1413,Housing 70 gear counter,50,9,450,,
1414,,,,20010,,
1415,upper Cover Window    ,414,36,14904,30-4-2014,
1416,Back  Cover 70,1509,30,45270,,
1417,,,,60174,,
1418,Upper Cover Window,891,36,32076,2/5/2014,
1419,Back  Cover 70,1015,30,30450,,
1420,Upper Cover 70 New,508,36,18288,,
1421,Back cover gear counter,500,30,15000,,
1422,Housing gear counter 70,500,9,4500,,
1423,Dial Blank Ravi,1000,12,12000,,
1424,Dial Blank 125,50,8,400,,
1425,,,,112714,,
1426,Upper cover new model125,300,36,10800,5/3/2014,
1427,Upper Cover Window,546,36,19656,,
1428,Upper coverwindow,470,36,16920,,
1429,Back  Cover 70,1516,30,45480,,
1430,,,,92856,,
1431,upper Cover Window    ,452,36,16272,5/5/2014,
1432,Uppercover window,1024,36,36864,5/6/2014,
1433,Back  Cover 70,1095,30,32850,,
1434,Upper Cover Window,761,36,27396,,
1435,Upper cover new model 70,1005,36,36180,,
1436,Back  Cover 70,340,30,10200,,
1437,,,,143490,,
1438,uppercover window,345,36,12420,5/7/2014,
1439,Back  Cover 70,761,30,22830,,
1440,,,,35250,,
1441,Dial Blank 125,50,8,400,5/8/2014,
1442,Upper Cover Window,601,36,21636,,
1443,Back  Cover 70,649,30,19470,,
1444,Upper cover new 70,464,36,16704,,
1445,Back cover gear counter,528,30,15840,,
1446,Housing gear counter 70,500,9,4500,,
1447,,,,78850,,
1448,Upper Cover Window,505,36,18180,5/9/2014,
1449,Upper Cover Window Unique,388,36,13968,,
1450,Back  Cover 70,673,30,20190,,
1451,,,,52338,,
1452,Upper Cover Window,510,36,18360,5/10/2014,
1453,Back  Cover 70,1060,30,31800,,
1454,Upper cover new model,164,36,5904,,
1455,Back  Cover 70,466,30,13980,,
1456,,,,70044,,
1457,Upper cover new model,512,36,18432,5/11/2014,
1458,Upper Cover Window,502,36,18072,,
1459,Back cover window,1453,30,43590,,
1460,,,,80094,,
1461,Upper Cover Window,524,36,18864,5/12/2014,
1462,Upper cover new 70,536,36,19296,,
1463,Back  Cover 70,777,30,23310,,
1464,,,,61470,,
1465,Upper Cover 70 ,1023,36,36828,5/14/2014,
1466,Back  Cover 70,1008,30,30240,,
1467,Dial Blank 125,1000,8,8000,,
1468,,,,75068,,
1469,Dial blankmaster,500,8,4000,5/15/2014,
1470,Dial blank Ravi,329,12,3948,,
1471,,,,7948,,
1472,Cover Set 125new,100,125,12500,5/21/2014,
1473,Cover Set 125 Old,100,125,12500,,
1474,Housing Riskshah Large,1010,35,35350,,
1475,Housing riskshah medium,156,17,2652,,
1476,Housing riskshah small,136,17,2312,,
1477,Dial Blank 70 Ring,700,9,6300,,
1478,Dial Ring,700,7,4900,,
1479,,,,76514,,
1480,Nest Rickshah Large,223,10,2230,22-5-2014,
1481,Nest Rickshah Small,170,5,850,,
1482,Rubber Ring Rickshah Large Outer,300,10,3000,,
1483,Rubber Ring Rickshah Inner large,150,10,1500,,
1484,Rubber Ring Rickshah small inner,1000,5,5000,,
1485,Rubber Ring rickshah small outer,350,5,1750,,
1486,,,,14330,,
1487,Upper Cover 70 ,603,36,21708,23-05-2014,
1488,Back Cover 70,612,30,18360,,
1489,Nest small Riskshah,500,5,2500,,
1490,Rubber ring small upper,425,5,2125,,
1491,Rubber Ring large Rickshaw,570,10,5700,,
1492,,,,50393,,
1493,Cover Set 125 New,50,125,6250,24-05-2014,
1494,Nest Rickshah Large,195,10,1950,,
1495,,,,8200,,
1496,,,,,,
1497,Dial Blank Master,500,8,4000,27-05-2014,
1498,Upper cover new model 70,519,36,18684,,
1499,Back  Cover 70,519,30,15570,,
1500,Rubber ring outer large Riskshah,700,10,7000,,
1501,Nest large Rikkshaw,640,10,6400,,
1502,Dial  blank master RPM,500,8,4000,,
1503,Dial blank 125 RPM,500,8,4000,,
1504,,,,59654,,
1505,Upper cover new model 70,564,36,20304,28-05-2014,
1506,Back  Cover 70,696,30,20880,,
1507,Dial Blank Ravi,2000,12,24000,,
1508,,,,65184,,
1509,Upper cover new model 70,596,36,21456,29-05-2014,
1510,Back  Cover 70,638,30,19140,,
1511,nest small  riksha,470,5,2350,,
1512,Reberr ring Large oter ,277,10,2770,,
1513,,,,45716,,
1514,Upper cover WINDOw,988,36,35568,29-05-2014,
1515,Back  Cover 70,961,30,28830,,
1516,,,,64398,,
1517,Upper  cover    new 70  Model,846,36,30456,30-05-2014,
1518,Back  Cover 70,871,30,26130,,
1519,,,,56586,,
1520,Upper cover new model 70,658,36,23688,31-05-2014,
1521,Back  Cover 70,366,30,10980,,
1522,Dial Blank 125 speedo,120,8,960,,
1523,,,,35628,,
1524,upper  cover   1. 2. 5,100,65,6500,5/6/2014,
1525,upper  cover   window,638,36,22968,5/6/2014,
1526,Back  Cover 70,657,30,19710,,
1527,housing rikshaw Large,1010,25,25250,,
1528,housing rikshaw Large black,770,35,26950,,
1529,housing rikshaw midim,639,17,10863,,
1530,housing rikshaw small,658,17,11186,,
1531,,,,116927,,
1532,Upper  cover    new 70  Model,520,36,18720,7/6/2014,
1533,upper  cover    window,531,36,19116,,
1534,Back  Cover 70,1038,30,31140,,
1535,Housing rikshaw midim,220,17,3740,,
1536,Housing rikshaw small,300,17,5100,,
1537,,,,77816,,
1538,upper  cover    window,647,36,23292,11/6/2014,
1539,Back  Cover 70,688,30,20640,,
1540,rUBBER RING SMALL INNER ,850,5,4250,,
1541,rUBBER RING SMALL OUTTER,575,5,2875,,
1542,rUBBER RING large inner,480,10,4800,,
1543,rUBBER RING large  OUTTER,485,10,4850,,
1544,Nest Large,400,10,4000,,
1545,Nest small Riskshah,370,5,1850,,
1546,dial  blank 125,250,8,2000,,
1547,,,,68557,,
1548,upper  cover   window,605,36,21780,13-06-2014,
1549,Back  Cover 70,662,30,19860,,
1550,Dial  blank RAVI,850,12,10200,,
1551,,,,51840,,
1552,Upper  cover    new 70  Model,542,36,19512,16-6-2014,
1553,upper  cover    window,612,36,22032,,
1554,Back  Cover 70,1187,30,35610,,
1555,,,,77154,,
1556,Back  Cover 70,237,30,7110,23-6-2014,
1557,Back  Cover 70,222,30,6660,,
1558,,,,13770,,
1559,upper  cover    unique,376,36,13536,24-6-2014,
1560,Back  Cover 70,336,30,10080,,
1561,,,,23616,,
1562,dial  blank 125,1000,8,8000,25-6-2014,
1563,Upper  cover    new 70  Model,647,36,23292,26-6-14,
1564,Back  Cover 70,654,30,19620,,
1565,,,,42912,,
1566,dial  blank master spido,500,8,4000,28-6-2014,
1567,Dial  blank RAVI,520,12,6240,2/7/2014,
1568,Upper  cover    new 70  Model,533,36,19188,3/7/2014,
1569,Back  Cover 70 Gare counter,508,30,15240,,
1570,,,,34428,,
1571,Cover Set 125,200,125,25000,7/7/2014,
1572,dial  blank 125,1000,8,8000,9/7/2014,
1573,upper  cover  125,60,65,3900,10/8/2014,
1574,Dial  blank RAVI,1000,12,12000,,
1575,dial  blank 125,1000,8,8000,,
1576,,,,23900,,
1577,upper  cover   125,100,65,6500,23-8-2014,
1578,dial  Blank ravi,550,12,6600,25-8-2014,
1579,dial  blank 125,2000,8,16000,29-8-2014,
1580,housing qinque,50,60,3000,,
1581,,,,19000,,
1582,Upper  cover    new 70  Model,500,36,18000,9/9/2014,
1583,Nest Large Rikkshaw,800,10,8000,,
1584,,,,26000,,
1585,Dial  blank RAVI,375,12,4500,9/9/2014,
1586,RUBBER RING SMALL INNER,1000,5,5000,,
1587,rUBBER RING SMALL outer,1000,5,5000,,
1588,,,,14500,,
1589,Cover Set 125 New model,200,125,25000,19-9-2014,
1590,Housing Rikshaw Small,270,17,4590,,
1591,Housing Rikshaw Medium,320,17,5440,,
1592,,,,35030,,
1593,upper  cover  125 new model,60,65,3900,20-9-2014,
1594,dial  blank 125,1000,8,8000,,
1595,,,,11900,,
1596,Dial  Blank 70,1000,8,8000,24-9-2014,
1597,Dial  Blank 70,1000,8,8000,27-9-2014,
1598,cover Set 125 Newmodel,200,125,25000,1/10/2014,
1599,Housing Rikshaw Medium,180,17,3060,2/10/2014,
1600,Housing small Rikshaw,440,17,7480,11/10/2014,
1601,Nest Small Riskshah,1000,5,5000,,
1602,,,,12480,,
1603,Housing medium Rikshaw,500,17,8500,18-10-2014,
1604,Housing small Rikshaw,500,17,8500,,
1605,,,,17000,,
1606,Dial  Blank 70,2000,8,16000,25-10-2014,
1607,RUBBER RING SMALL INNER,1000,5,5000,,
1608,,,,21000,,
1609,Dial  blank RAVI,150,12,1800,29-10-2014,
1610,rUBBER RING large inner rekshaw,1000,10,10000,,
1611,,,,11800,,
1612,upper  cover    new 125  Model,180,65,11700,1/11/2014,
1613,Dial  blank master spido,300,8,2400,,
1614,dial  blank master spido,200,8,1600,,
1615,dial  blank master spido,500,8,4000,,
1616,,,,19700,,
1617,upper  cover    new 125 Model,100,65,6500,7/11/2014,
1618,upper  cover    new 125  Model,500,65,32500,,
1619,back  Cover 125,500,20,10000,,
1620,,,,49000,,
1621,upper  cover    new  Model,518,36,18648,14-11-2014,
1622,back  Cover 70 Gare counter,537,30,16110,,
1623,Housing gear counter ,517,9,4653,,
1624,,,,39411,,
1625,Upper  cover    new 70  Model,200,36,7200,26-11-2014,
1626,Back  Cover 70 Gare counter,200,30,6000,,
1627,housing 70 gare counter,160,9,1440,,
1628,,,,14640,,
1629,dial  Blank ravi,520,12,6240,27-11-2014,
1630,Dial  blank RAVI,1330,12,15960,3/12/2014,
1631,dial  blank qinque,500,12,6000,,
1632,,,,21960,,
1633,Cover Set 125 New model,200,125,25000,11/12/2014,
1634,upper  cover   qinque jick,76,65,4940,,
1635,,,,29940,,
1636,dial  blank 125,1000,8,8000,18-12-2014,
1637,upper  cover   ravi,20,75,1500,,
1638,back  Cover ravi,20,40,800,,
1639,housing ravi,20,15,300,,
1640,upper  cover  125 new model,200,65,13000,,
1641,back  Cover 125,200,20,4000,,
1642,,,,27600,,
1643,cove set 125 New  model,300,125,37500,29-12-2014,
1644,upper  cover    qiinque  window,500,0,0,2/1/2015,
1645,housing qinque,500,0,0,,
1646,nest qinque,500,0,0,,
1647,back  cover   qinque,500,125,62500,,
1648,houing sohrab js,60,35,2100,2/1/2015,
1649,rUBBER RING SMALL outNER,500,5,2500,5/1/2015,
1650,cove set 125  new model,300,125,37500,6/1/2015,
1651,upper  cover   window,20,36,720,12/1/2015,
1652,Back  Cover 70,20,30,600,,
1653,houing 70 ,10,10,100,,
1654,,,,1420,,
1655,upper  cover   window,100,36,3600,13-1-2015,
1656,Back  Cover 70,100,30,3000,,
1657,houing 70 ,100,10,1000,,
1658,,,,7600,,
1659,upper  cover window,681,38,25878,13-1-2015,
1660,Back  Cover 70,619,32,19808,,
1661,,,,45686,,
1662,upper  cover window,334,38,12692,14-1-2015,
1663,Back  Cover 70,315,32,10080,,
1664,,,,22772,,
1665,upper  cover window,264,38,10032,15-1-2015,
1666,Back  Cover 70,324,32,10368,,
1667,,,,20400,,
1668,upper  cover window,459,38,17442,15-1-2015,
1669,Back  Cover 70,766,32,24512,,
1670,,,,41954,,
1671,cove set 125  new model,100,125,12500,16-1-2015,
1672,upper  cover  window,439,38,16682,16-1-2015,
1673,Back  Cover 70,299,32,9568,,
1674,,,,26250,,
1675,upper  cover  window,531,38,20178,17-1-2015,
1676,Back  Cover 70,408,32,13056,,
1677,,,,33234,,
1678,upper  cover  window,341,38,12958,19-1-2015,
1679,Back  Cover 70,331,32,10592,,
1680,,,,23550,,
1681,cove set 125 New  model,300,125,37500,17-1-2015,
1682,upper  cover  window,457,38,17366,19-1-2015,
1683,Back  Cover 70,315,32,10080,,
1684,,,,27446,,
1685,upper  cover  window,425,38,16150,20-1-2015,
1686,Back  Cover 70,204,32,6528,,
1687,dial  blank 125,1000,8,8000,,
1688,,,,30678,,
1689,housing sohrab js ,220,35,7700,22-1-2015,
1690,Dial  blank master RPM,230,8,1840,,
1691,Dial  blank RAVI,500,12,6000,,
1692,,,,15540,,
1693,Cover Set 125 New model,300,125,37500,26-1-2015,
1694,Dial  blank RAVI,500,12,6000,,
1695,,,,43500,,
1696,cove set 125 New  model,300,125,37500,2/2/2015,
1697,Cove set ravi,260,125,32500,3/2/2015,
1698,housing rikshaw Large,500,25,12500,5/2/2015,
1699,housing rikshaw medium,490,17,8330,,
1700,Dial  blank RAVI,500,12,6000,,
1701,,,,26830,,
1702,upper  cover shurab js window,297,55,16335,6/2/2015,
1703,nest red,300,20,6000,,
1704,back  Cover shurab js ,300,20,6000,,
1705,rUBBER RING SMALL oUTTER,850,5,4250,,
1706,rUBBER RING large inner,500,10,5000,,
1707,rUBBER RING large outter,525,10,5250,,
1708,,,,42835,,
1709,Upper  cover    new 70  Model,300,38,11400,9/2/2015,
1710,back  Cover 70 Gare counter,300,32,9600,,
1711,housing 70 gare counter,300,9,2700,,
1712,Dial  blank master spido,500,8,4000,,
1713,,,,27700,,
1714,Cover Set 125 New model,300,125,37500,11/2/2015,
1715,Houing Sohrab js,390,35,13650,17-2-2015,
1716,Dial  Blank SOHRAB JS,500,12,6000,,
1717,,,,19650,,
1718,dial  blank qinque,500,12,6000,19-2-2015,
1719,upper  cover  sohrab jick,506,45,22770,,
1720,back  Cover sohrab js ,500,25,12500,,
1721,housing sohrab js ,110,35,3850,,
1722,nest sohrab js,500,20,10000,,
1723,,,,55120,,
1724,Cover Set 125 New model,250,125,31250,20-2-2015,
1725,housing qinque,434,35,15190,,
1726,Dial  blank RAVI,520,12,6240,,
1727,,,,52680,,
1728,Cover Set 125 New model,300,125,37500,28-2-2015,
1729,housing rikshaw small,120,17,2040,,
1730,,,,39540,,
1731,dial  Blank master ,500,8,4000,26-2-2015,
1732,housing small Rikshaw,250,17,4250,9/3/2015,
1733,nest small Riskshah,500,5,2500,,
1734,nest Large Rikkshaw,500,10,5000,,
1735,rUBBER RING large INNER,476,10,4760,,
1736,,,,16510,,
1737,Upper  cover    new 70  Model,506,38,19228,10/3/2015,
1738,rUBBER RING SMALL INNER,500,5,2500,,
1739,,,,21728,,
1740,Cover Set 125,300,125,37500,18-3-2015,
1741,back  Cover gair counter,237,32,7584,,
1742,Housing gair counter ,420,9,3780,,
1743,Upper  cover    new 70  Model,174,38,6612,,
1744,upper  cover  leader,50,50,2500,,
1745,,,,57976,,
1746,dial  Blank qinque,500,12,6000,19-3-2015,
1747,housing rikshaw Large,925,25,23125,26-3-2015,
1748,housing rikshaw medium,1050,17,17850,,
1749,housing rikshaw small,1050,17,17850,,
1750,rUBBER RING SMALL INNER,500,5,2500,,
1751,dial  Blank sOHRAB JS,500,12,6000,,
1752,dial  Blank ravi,500,12,6000,,
1753,dial  Blank sOHRAB JS,500,12,6000,,
1754,,,,79325,,
1755,dial  blank 125 ,200,8,1600,28-3-2015,
1756,dial  blank  125 RPM ,200,8,1600,,
1757,Upper  cover shurab js jick,77,45,3465,,
1758,,,,6665,,
1759,dial  blank 125,400,8,3200,27-3-2015,
1760,upper  cover shurab js jick,240,45,10800,4/3/2015,
1761,housing qinque,500,35,17500,,
1762,back  Cover qinque,500,25,12500,,
1763,nest qinque,500,20,10000,,
1764,,,,50800,,
1765,dial  Blank sOHRAB JS,500,12,6000,16-4-2015,
1766,upper  cover shurab js jick,322,45,14490,20-4-2015,
1767,back  Cover shurab js ,500,20,10000,,
1768,housing qinque,192,35,6720,,
1769,nest qinque,330,20,6600,,
1770,,,,37810,,
1771,dial  Blank ravi,1000,12,12000,24-4-2015,
1772,nest Large Rikkshaw,450,10,4500,,
1773,,,,16500,,
1774,rUBBER RING SMALL oUTTER,350,5,1750,25-4-2015,
1775,nest small Riskshah,500,5,2500,29-4-2015,
1776,rUBBER RING SMALL INNER,450,5,2250,,
1777,,,,4750,,
1778,Cove set new model 125,300,125,37500,8/5/2015,
1779,housing rikshaw large,1010,25,25250,11/5/2015,
1780,housing small Rikshaw,500,17,8500,12/5/2015,
1781,housing medium Rikshaw,250,17,4250,,
1782,Dial Blank Master,1000,8,8000,,
1783,rUBBER RING sMALL oUTTER,500,5,2500,,
1784,rUBBER RING SMALL INNER,500,5,2500,,
1785,,,,25750,,
1786,cove set ravi 100 cc,280,125,35000,13-5-2015,
1787,Cove set ravi 100 cc,225,125,28125,13-5-2015,
1788,dial  blank 125,1000,8,8000,,
1789,,,,36125,,
1790,rUBBER RING SMALL oUTTER,1000,5,5000,16-5-2015,
1791,dial  blank 125,1000,8,8000,19-5-2015,
1792,nest small Riskshah,350,5,1750,21-5-2015,
1793,dial  Blank ravi,500,12,6000,22-5-2015,
1794,dial  Blank ravi,440,12,5280,23-5-2015,
1795,dial  Blank 125  RPM,200,8,1600,25-5-2015,
1796,Cover Set 125 New model,250,125,31250,30-5-2015,
1797,rUBBER RING large outter,1000,5,5000,,
1798,rUBBER RING large  INNER,1000,5,5000,,
1799,nest Large Rikkshaw,880,10,8800,,
1800,nest small Riskshah,700,5,3500,,
1801,,,,53550,,
1802,cover Set new model 125,300,125,37500,2/6/2015,
1803,rUBBER RING SMALL oUTTER,840,5,4200,3/6/2015,
1804,dial  Blank ravi,1500,12,18000,4/6/2015,
1805,Dial  blank master RPM,600,8,4800,4/6/2015,
1806,dial  Blank suzuki,500,12,6000,,
1807,,,,10800,,
1808,Back  Cover 70 Gare counter,500,32,16000,8/6/2015,
1809,Houing 70 gare counter,500,9,4500,,
1810,,,,20500,,
1811,upper  cover window,500,38,19000,9/6/2015,
1812,Back  Cover 70,500,32,16000,,
1813,,,,35000,,
1814,dial  Blank qinque,520,12,6240,17-6-2015,
1815,upper  cover shurab js jick,466,45,20970,19-6-2015,
